Time, AccelerometerX, AccelerometerY, AccelerometerZ 
3.45, -0.275, -10.071, 0.415
3.46, -0.314, -10.091, 0.531
3.47, -0.275, -10.091, 0.531
3.48, -0.314, -10.078, 0.454
3.49, -0.314, -10.091, 0.531
3.5, -0.314, -10.071, 0.415
3.51, -0.353, -10.032, 0.422
3.52, -0.314, -10.071, 0.415
3.53, -0.353, -10.091, 0.531
3.54, -0.314, -10.091, 0.531
3.55, -0.275, -10.085, 0.492
3.56, -0.314, -10.098, 0.569
3.57, -0.275, -10.078, 0.454
3.58, -0.275, -10.071, 0.415
3.59, -0.235, -10.091, 0.531
3.6, -0.235, -10.039, 0.46
3.61, -0.275, -10.032, 0.422
3.62, -0.275, -10.053, 0.538
3.63, -0.235, -10.053, 0.538
3.64, -0.235, -10.066, 0.615
3.65, -0.235, -10.046, 0.499
3.66, -0.196, -10.039, 0.46
3.67, -0.196, -10.091, 0.531
3.68, -0.235, -10.123, 0.485
3.69, -0.235, -10.15, 0.64
3.7, -0.235, -10.175, 0.556
3.71, -0.235, -10.144, 0.601
3.72, -0.235, -10.196, 0.672
3.73, -0.235, -10.15, 0.64
3.74, -0.275, -10.164, 0.717
3.75, -0.314, -10.112, 0.647
3.76, -0.275, -10.105, 0.608
3.77, -0.235, -10.112, 0.647
3.78, -0.196, -10.112, 0.647
3.79, -0.196, -10.15, 0.64
3.8, -0.235, -10.144, 0.601
3.81, -0.235, -10.098, 0.569
3.82, -0.196, -10.112, 0.647
3.83, -0.235, -10.112, 0.647
3.84, -0.275, -10.105, 0.608
3.85, -0.275, -10.112, 0.647
3.86, -0.235, -10.119, 0.685
3.87, -0.275, -10.073, 0.654
3.88, -0.275, -10.087, 0.731
3.89, -0.314, -10.06, 0.576
3.9, -0.314, -10.06, 0.576
3.91, -0.314, -10.06, 0.576
3.92, -0.275, -10.028, 0.622
3.93, -0.275, -10.048, 0.738
3.94, -0.235, -10.041, 0.699
3.95, -0.275, -10.08, 0.692
3.96, -0.235, -10.098, 0.569
3.97, -0.196, -10.15, 0.64
3.98, -0.196, -10.157, 0.679
3.99, -0.196, -10.157, 0.679
4.0, -0.196, -10.144, 0.601
4.01, -0.235, -10.175, 0.556
4.02, -0.196, -10.137, 0.563
4.03, -0.196, -10.137, 0.563
4.04, -0.196, -10.15, 0.64
4.05, -0.235, -10.091, 0.531
